product code ,name ,category,brand,size,finish,image 1,image 2,image 3
JMS,D blue,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1kHj4_nr_NQy3IFiKI-8vFRVE4PJVhqH1/view?usp=drive_link,,
LM,deep cotto,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1WfQw9F3eVGMbG6OYVnj-iM4OQuHi0265/view?usp=drive_link,https://drive.google.com/file/d/1RZ3jyIG8B2rHTpLUBPXnsp7_FzMC4Scb/view?usp=drive_link,
LM,deep sea,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/14RaEOsQKh3GZkPRAyz9yonl0E7a6tZ1G/view?usp=drive_link,https://drive.google.com/file/d/1PKHyk2ZeDsi-cpI7XdI_CL5f-cdSuqJy/view?usp=drive_link,
JMS,Dewada Green,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1rj24BstpzbcQUU1spggw7hpRIYSZs-fk/view?usp=drive_link,,
DO,Elbow 90,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1JZ4Y-5zSRE-TiqEeyUarrcSUeKYEtHD3/view?usp=drive_link,,
PR,elenaz blue,"wall, alivation tile",Prime ,300x450/ box,glossy/ matt,https://drive.google.com/file/d/1gXr-j3xNhrIosP8KQ_v6m_vKgCDFiT1m/view?usp=drive_link,,
PR,elenaz multi,"wall, alivation tile",Prime ,300x450/ box,glossy/ matt,https://drive.google.com/file/d/1S0mGKSE6pCY2n_9NNuXbQFMOvZdpgGvb/view?usp=drive_link,,
PR,embrald green,floor tile,Prime ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1eP-v1PI1W9r2-mwqu5jpC6VE7xPQgnxh/view?usp=drive_link,,
LM,emperio coffee,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1fPKJ1tG8ytk6ZiOfh0v-iRDRbcvr_KS2/view?usp=drive_link,https://drive.google.com/file/d/1oWRf9nNfBvwVJF3QkdqEXAgzixlsqM9e/view?usp=drive_link,https://drive.google.com/file/d/1zEbBriINqYl5sUV6ikCRi3PMVjVmdg6B/view?usp=drive_link
LM,emperio fog,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1FdqHjaBaPewjTKE79OhMLDRphTtOy-Zi/view?usp=drive_link,https://drive.google.com/file/d/13Toq4A50iejGXobbjrdOWNPjzwbSwpt2/view?usp=drive_link,
DO,end plug thereded,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1FzWvhgUh-LrqZh5k36KrUBzJ9bqhirdU/view?usp=drive_link,,
DO,equal tee,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1dzzOtO9NncR2GkY67MMj00GSDX0xVasn/view?usp=drive_link,,
PR,fantisy crema ,floor tile,Prime ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1-qlAwOj562on9HYdznlDLIaHSaKbpNUS/view?usp=drive_link,,
DO,female threaded double elbow brass ,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1gpb7-MtMxGU7PmScqyLVtMnMINweru4Z/view?usp=drive_link,,
DO,female threaded elbow brass ,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1MM4hOGPOtFdvAxl6wKeneWIJ7jFKexBv/view?usp=drive_link,,
DO,female threaded triple elbow brass ,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1SudY6RTKoY-o_qH3Xh0HrYRhe5CTQ9Qj/view?usp=drive_link,,
JMS,fish black,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1TSbyqZzPxmXu_-Ivpptno4jKu-3VthmG/view?usp=drive_link,,
PR,flowery,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1QNcF8el5Mpr7B94XxHQnD4kn-_wHCgmY/view?usp=drive_link,,
PR,fusion,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1tBxEgzI-I93lbSa6BdEakWphFAhT5xev/view?usp=drive_link,,
PR,gabba,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1UHybTf-NLTVweF9EOfszRAk0kA3U2gZo/view?usp=drive_link,,
JMC,Gaurav,cement ,Jay mangalam cement,50kg/bag,ppc,https://drive.google.com/file/d/1qPcdfAghVnGiDlTWlKXLf4ntVa0BHyrk/view?usp=drive_link,,
PR,gem crema ,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1rnXUC02EdV8ZDUkrA2u9L89WmBGox1tl/view?usp=drive_link,,
PR,gem wood,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1vRdcCqFyaEq3PJ5g2WohvjqS6Qa-dsbS/view?usp=drive_link,,
LM,giro beige ,Parking floor tile ,laminar ,400x400/ box,matt,https://drive.google.com/file/d/1nzmSiRctVO7M0w-zH10wgoG8A4di7XxN/view?usp=drive_link,,
LM,giro gris,Parking floor tile ,laminar ,400x400/ box,matt,https://drive.google.com/file/d/1axbtRJj4dVpU6_hQNLjF2MRgVnarV_W9/view?usp=drive_link,,
LM,helixe terra,Parking floor tile ,laminar ,400x400/ box,matt,https://drive.google.com/file/d/1qKN8xZYleVTtgNFQLlFYNHGhanrUAdz2/view?usp=drive_link,,
JMS,himalyan brown,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1hgvSdWJJ2LFzfwZuluoTwPmI_07MWPNp/view?usp=drive_link,,
JMS,ice white ,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1srXpe2DS7wIBtFDm0cjcLJsyJyW4Oh_V/view?usp=drive_link,,
JMS,imperial red,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/106Ea0kpqRWjL-anvjrhnFcW5Ao4GQsf0/view?usp=drive_link,,
LM,irish grey,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1CRVyqHkqebJ6NhRH5bUnNHn1EX4Kmgt_/view?usp=drive_link,https://drive.google.com/file/d/17E49bGKdlPEM8kLnhvlla17thdnbxf9J/view?usp=drive_link,
PR,IVY,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1EZiduUJLpWnZDfBVx1AmxDLiJp6IlgWa/view?usp=drive_link,,
AQ,J urinal Half Stall Vigo 480,sanitory,Acquario,,glossy,https://drive.google.com/file/d/1QweXRbWOQI7NwgkDboTjpSdo5dSXLqRI/view?usp=drive_link,,
PR,kantian,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1ppeZf1ij1v1h4o9iT8BuUZ2Al5cw73ym/view?usp=drive_link,,
PR,kettle,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/19vrhhs_8ZM_OXNJNuXAevOG7y3X43qBY/view?usp=drive_link,,
JMS,kotada brown,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1nYAk6_938JOF8TlvDzuzQstGQFCjOhCv/view?usp=drive_link,,
NE,libra blue,"floor, parking tile ",Nepovit,400x400/ box ,matt,https://drive.google.com/file/d/1ENDKcldIYTsc9JDHsJzThUhJltctiqLX/view?usp=drive_link,,
PR,ligen,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1AJClWCvjZaatwlB4XMcjKEWunweNaAUy/view?usp=drive_link,,
NE,lithor,"wall,floor tile ",Nepovit,"300x450, 300x300/ box",glossy/ matt,https://drive.google.com/file/d/1mnWDhNu0mFJHC8o9PXqY40RM05CC75zm/view?usp=drive_link,,
LM,madera knot,floor tile,laminar ,600x600/ box ,matt,https://drive.google.com/file/d/1Vq6ecuBUqVTLFsem2yJHfvgG55O1QZme/view?usp=drive_link,,
DO,male threaded elboe brass ,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/10qQe92Dj3shCbKfrdrhlunNwxYRdZNeX/view?usp=drive_link,,
JMS,malwada ,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1y5UT99ZBOacIoery8vhY-utN0-zHN8Qv/view?usp=drive_link,,
LM,marbelan,floor tile,laminar ,600x600/ box ,matt,https://drive.google.com/file/d/1Z__bt1M-zil_07xXbdrTy2jKaYWI2TJD/view?usp=drive_link,,
LM,marbowood,floor tile,laminar ,600x600/ box ,matt,https://drive.google.com/file/d/1HrGzKZeyVXKpfaTQrlbQj_kUDCXsj1dr/view?usp=drive_link,,
JMS,markino black,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1UOT3fNhGtpQ69l4nrE383AHKv5JagDl9/view?usp=drive_link,,
LM,massa gris,Parking floor tile ,laminar ,400x400/ box,matt,https://drive.google.com/file/d/1MjzIg0bu-dR-k1oQBJdVnRb4xjcbYAKv/view?usp=drive_link,,
LM,matone beige ,Parking floor tile ,laminar ,400x400/ box,matt,https://drive.google.com/file/d/15vhziT9MDr0wufcz1oC1KEJf_4LPyg98/view?usp=drive_link,,
LM,matone gris,Parking floor tile ,laminar ,400x400/ box,matt,https://drive.google.com/file/d/1EpLcNH35FGN8_jOy9tSzLyeqyZMRXPQZ/view?usp=drive_link,,
DO,metal clamp,CPVC/PVC,Dolphin ,Avilable in all size  ,"smooth, glossy, and non-porous",https://drive.google.com/file/d/1FuOjvy3Kt8Pa17idDxtI-dyV42vt4BGp/view?usp=drive_link,,
PR,mirage ,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1KETeIpMFPRcZe-CtXL2zs9RjJfog4LVd/view?usp=drive_link,,
LM,mono crema,floor tile,laminar ,600x600/ box ,matt,https://drive.google.com/file/d/1309QXuXvcd4vuE8dqtqp7C5woMfMms92/view?usp=drive_link,,
LM,mono dove,floor tile,laminar ,600x600/ box ,matt,https://drive.google.com/file/d/1taBwIRQcVxOZ-uQKbZkpKe9AfHQD1Mm6/view?usp=drive_link,,
JMS,N. Black,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1ZE5Qac5alt1AiFrouDU8JmVojIhj6QIm/view?usp=drive_link,,
LM,nero portoro,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1k8I9IkNW55gv7tIP71RiXASGGFSCnRui/view?usp=drive_link,https://drive.google.com/file/d/19X3chTXOPhj08tWe7FRsPthXhw9MRSBM/view?usp=drive_link,
NE,nova blue,"floor, parking tile ",Nepovit,400x400/ box ,matt,https://drive.google.com/file/d/1fKZOMyjtqNOu3lVNFNfCR_2Z5wQAMuW4/view?usp=drive_link,,
LM,novasa white ,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1l_ge63aZHpel3sLurdPqEPTsZLgdrfrD/view?usp=drive_link,https://drive.google.com/file/d/1HHLH_2aK0Jri_rwg45hmXzL4OsdElUXO/view?usp=drive_link,
PR,obsidian blue ,floor tile,Prime ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1H5qJcWaAx9UpNFgjBkqSP28224C2DsyN/view?usp=drive_link,,
LM,onixo volcano,floor tile,laminar ,600x1200/ box,GVT glossy,https://drive.google.com/file/d/1KsqaRV5Q8KPTNb7aGjQ2xpVFx3XaIiQp/view?usp=drive_link,https://drive.google.com/file/d/15iuDGlKyVSwgbo9u2i-7nN-KWauI2YZj/view?usp=drive_link,
PR,orson / oyster,wall/floor tile,Prime ,"300x450 , 300x300 / box",glossy/ matt,https://drive.google.com/file/d/1eTgHK3XyzuROVdSCeOeDTYxeipQ3H4gZ/view?usp=drive_link,,
JMS,P White ,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1lqW5YmfSk6d4k-eV_pVLVSo0YUzIZ3-I/view?usp=drive_link,,
AQ,Pedestal moon 302,sanitory,Acquario,,glossy,https://drive.google.com/file/d/1-cs7jvG0nLYp-ytKV7nl3WJAuzhSMnK8/view?usp=drive_link,,
JMS,Peral Black,Granite/marbel,Jay mangalam stonex,"according to slab, in sq. ft.",Polished & Lapatro,https://drive.google.com/file/d/1jP0eBuNTa4uTdAKCb075FS04VVYke-qT/view?usp=drive_link,,
NE,pixello,"wall,floor tile ",Nepovit,"300x450, 300x300/ box",glossy/ matt,https://drive.google.com/file/d/1LB5nKfISzFculhLIxdKYeRLLGGQeD4T9/view?usp=drive_link,,
